book_no,charge_no,statute,description,level,degree
ASO19JBN001683,#1,365.172.14,PUBLIC ORDER CRIMES: MISUSE 911 OR E911 SYSTEM,M,1st
ASO19JBN001683,#2,784.041.2a,BATTERY: COMMIT DOMESTIC BATTERY BY STRANGULATION,F,3rd
ASO18JBN007153,#1,843.02,RESIST OFFICER: OBSTRUCT WO VIOLENCE,M,1st
ASO19JBN000998,#1,782.071.1a,HOMICIDE NEGLIG-MANSL-VEH: KILLING OF HUMAN BEING OR UNBORN CHILD W VEH,F,2nd
ASO19JBN000373,#1,843.02,RESIST OFFICER: OBSTRUCT WO VIOLENCE,M,1st
ASO19JBN000373,#2,893.13.6a,COCAINE-POSSESS: POSSESS COCAINE,F,3rd
ASO19JBN000373,#3,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO18JBN006778,#1,827.03.2a,CRUELTY TOWARD CHILD: AGGRAVATED CHILD ABUSE,F,1st
ASO18JBN006778,#2,827.03.2a,CRUELTY TOWARD CHILD: AGGRAVATED CHILD ABUSE,F,1st
ASO19JBN000138,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000817,#1,806.13.1b3,DAMAGE PROP-CRIM MISCH: 1000 DOLS OR MORE,F,3rd
ASO19JBN000339,#1,784.041.1,BATTERY: COMMIT FELONY BATTERY,F,3rd
ASO18JBN008013,#1,812.014.3c,LARC: PETIT THEFT 2ND DEGREE 3RD SUBSQ OFFENSE,F,3rd
ASO18JBN005110,#1,790.01.2,CARRYING CONCEALED WEAPON: UNLICENSED FIREARM,F,3rd
ASO18JBN005110,#2,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO18JBN005110,#3,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO18JBN005110,#4,322.34(5),: OPERATING WHILE DL REVOKED FOR HABITUAL TRAFFIC OFFENDER,C,3rd
ASO18JBN005110,#5,316.072.3,PUBLIC ORDER CRIMES: FAIL TO OBEY POLICE OR FIRE DEPARTMENT,M,2nd
ASO19JBN000952,#1,901.31,FAILURE TO APPEAR: WRITTEN PROMISE TO APPEAR,N,N
ASO19JBN000496,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO18JBN000296,#1,794.011.2a,SEX ASSLT: BY 18 YOA OLDER SEX BATTERY VICT UNDER 12 YOA,F,C
ASO18JBN000296,#2,794.011.8c,SEX ASSLT: BY 18 YOA OLDR CUSTOD SEX BATT VICT UND 12 YOA,F,C
ASO19JBN001093,#1,322.03.1,MOVING TRAFFIC VIOL: OPERATE MOTOR VEHICLE WO VALID LICENSE,M,2nd
ASO19JBN001031,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000839,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001175,#1,903.0471.,CONDIT RELEASE VIOLATION: VIOLATION OF CONDITION OF PRETRIAL RELEASE,N,N
ASO18JBN007976,#1,741.31.4c,CONTEMPT OF COURT: VIOL INJUN PROTECTION 2 OR MORE PRIOR CONVICT,F,3rd
ASO18JBN007976,#2,741.31.4c,CONTEMPT OF COURT: VIOL INJUN PROTECTION 2 OR MORE PRIOR CONVICT,F,3rd
ASO19JBN000795,#1,812.015.6,LARC: RESIST ARREST COMM THEFT RESIST RECOV OF PROP,M,1st
ASO19JBN000795,#2,812.014.3c,LARC: PETIT THEFT 2ND DEGREE 3RD SUBSQ OFFENSE,F,3rd
ASO19JBN000810,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000520,#1,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN000520,#2,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN000520,#3,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO19JBN000520,#4,901.36.1,FRAUD-IMPERSON: FALSE ID GIVEN TO LEO,M,1st
ASO19JBN001605,#1,812.014.3c,LARC: PETIT THEFT 2ND DEGREE 3RD SUBSQ OFFENSE,F,3rd
ASO19JBN001605,#2,812.014.3c,LARC: PETIT THEFT 2ND DEGREE 3RD SUBSQ OFFENSE,F,3rd
ASO19JBN001440,#1,777.7777.,NON-CHARGEABLE OFFENSE: INFORMATION PURPOSES ONLY,F,3rd
ASO18JBN004257,#1,784.07.2b,BATTERY: ON OFFICER FIREFIGHTER EMT ETC,F,3rd
ASO19JBN000824,#1,784.03.1a1,BATTERY: TOUCH OR STRIKE,M,1st
ASO18JBN006603,#1,316.193.3c3a,HOMICIDE-NEGLIG MANSL-VEH: DUI CAUSE DEATH TO HUMAN OR UNBORN CHILD,F,2nd
ASO19JBN000559,#1,810.02.3b,BURGL: OF UNOCCUPIED DWELLING; UNARMED; NO ASSLT/BATT,F,2nd
ASO19JBN000313,#1,812.015.6,LARC: RESIST ARREST COMM THEFT RESIST RECOV OF PROP,M,1st
ASO19JBN000313,#2,812.014.3c,LARC: PETIT THEFT 2ND DEGREE 3RD SUBSQ OFFENSE,F,3rd
ASO18JBN005350,#1,539.001.8b8b,FRAUD: FALSE OWNER INFO PAWNED ITEMS 300 DOLS OR MORE,F,2nd
ASO18JBN005350,#2,812.014.2c1,LARC: GRAND THEFT 300 LESS THAN 5K DOLS,F,3rd
ASO18JBN005350,#3,812.019.1,STOLEN PROP-DEAL IN: ,F,2nd
ASO18JBN005350,#4,812.155.3,FRAUD: FAIL REDELIVER HIRED LEASED PROP UND 300 DOLS,M,2nd
ASO18JBN005722,#1,901.31,FAILURE TO APPEAR: WRITTEN PROMISE TO APPEAR,N,N
ASO18JBN006532,#1,901.31,FAILURE TO APPEAR: WRITTEN PROMISE TO APPEAR,N,N
ASO19JBN000227,#1,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN001409,#1,322.34.5,MOVING TRAFFIC VIOL: DRIVE WHILE LIC SUSP HABITUAL OFFENDER,F,3rd
ASO19JBN001409,#2,893.13.6a,COCAINE-POSSESS: POSSESS COCAINE,F,3rd
ASO19JBN000601,#1,316.192.2a,"RECKLESS DRIVING WITH ALCOHOL, FIRST OFF: RECKLESS DRIVING WITH ALCOHOL, FIRST OFFENSE",M,2nd
ASO19JBN001660,#1,817.568.2a,FRAUD-IMPERSON: USE POSS ID OF ANOTHER PERSON WO CONSENT,F,3rd
ASO19JBN001660,#2,817.568.2a,FRAUD-IMPERSON: USE POSS ID OF ANOTHER PERSON WO CONSENT,F,3rd
ASO19JBN001660,#3,817.568.2a,FRAUD-IMPERSON: USE POSS ID OF ANOTHER PERSON WO CONSENT,F,3rd
ASO19JBN001660,#4,817.568.2a,FRAUD-IMPERSON: USE POSS ID OF ANOTHER PERSON WO CONSENT,F,3rd
ASO19JBN001660,#5,817.568.2a,FRAUD-IMPERSON: USE POSS ID OF ANOTHER PERSON WO CONSENT,F,3rd
ASO19JBN001660,#6,817.61,FRAUD-ILLEG USE CREDIT CARDS: USE MORE 2 TIME 6 MS OBT GDS MNEY 100 DOL MORE,F,3rd
ASO19JBN001660,#7,817.61,FRAUD-ILLEG USE CREDIT CARDS: USE MORE 2 TIME 6 MS OBT GDS MNEY 100 DOL MORE,F,3rd
ASO19JBN001660,#8,817.61,FRAUD-ILLEG USE CREDIT CARDS: USE MORE 2 TIME 6 MS OBT GDS MNEY 100 DOL MORE,F,3rd
ASO19JBN001660,#9,817.61,FRAUD-ILLEG USE CREDIT CARDS: USE MORE 2 TIME 6 MS OBT GDS MNEY 100 DOL MORE,F,3rd
ASO19JBN001660,#10,817.034.4a3,FRAUD-SWINDLE: OBTAIN PROPERTY UNDER 20K DOLS,F,3rd
ASO19JBN001391,#1,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO18JBN006480,#1,794.011.2a,SEX ASSLT: BY 18 YOA OLDER SEX BATTERY VICT UNDER 12 YOA,F,C
ASO18JBN006480,#2,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO19JBN000895,#1,810.097.1,TRESPASSING: SCHOOL GROUNDS -WAS 228.091,M,2nd
ASO19JBN000895,#2,843.02,RESIST OFFICER: OBSTRUCT WO VIOLENCE,M,1st
ASO19JBN000895,#3,856.021,LOITERING: OR PROWLING,M,2nd
ASO19JBN001001,#1,806.13.1b2,DAMAGE PROP-CRIM MISCH: OVER 200 DOLS UNDER 1000 DOLS,M,1st
ASO19JBN001001,#2,810.02.2b,BURGL: DWELLING STRUCTURE OR CONVEYANCE ARMED,F,1st
ASO19JBN001001,#3,812.014.2b1,LARC: 20K DOLS LESS THAN 100K DOLS,F,2nd
ASO19JBN001001,#4,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO19JBN001002,#1,806.13.1b2,DAMAGE PROP-CRIM MISCH: OVER 200 DOLS UNDER 1000 DOLS,M,1st
ASO19JBN001002,#2,810.02.2b,BURGL: DWELLING STRUCTURE OR CONVEYANCE ARMED,F,1st
ASO19JBN001002,#3,812.014.2b1,LARC: 20K DOLS LESS THAN 100K DOLS,F,2nd
ASO19JBN001002,#4,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO18JBN007609,#1,812.014.2c6,VEH THEFT: GRAND THEFT OF MOTOR VEHICLE,F,3rd
ASO18JBN007609,#2,812.014.2c6,VEH THEFT: GRAND THEFT OF MOTOR VEHICLE,F,3rd
ASO18JBN007609,#3,812.014.2c6,VEH THEFT: GRAND THEFT OF MOTOR VEHICLE,F,3rd
ASO18JBN007609,#4,812.019.2,STOLEN PROP-DEAL IN: ORGANIZED DEALING TRAFFIC STOLEN PROP,F,1st
ASO18JBN007609,#5,812.014.2c6,VEH THEFT: GRAND THEFT OF MOTOR VEHICLE,F,3rd
ASO18JBN007609,#6,812.014.2c6,VEH THEFT: GRAND THEFT OF MOTOR VEHICLE,F,3rd
ASO18JBN007609,#7,812.014.2c6,VEH THEFT: GRAND THEFT OF MOTOR VEHICLE,F,3rd
